id	locationID	countryCode	threatStatus
477	ISO_3166-2:IS	IS	Not Applicable
478	ISO_3166-2:IS	IS	Not Applicable
479	ISO_3166-2:IS	IS	Not Applicable
212	ISO_3166-2:IS	IS	Not Applicable
213	ISO_3166-2:IS	IS	Not Applicable
214	ISO_3166-2:IS	IS	Not Applicable
215	ISO_3166-2:IS	IS	Not Applicable
216	ISO_3166-2:IS	IS	Not Applicable
217	ISO_3166-2:IS	IS	Not Applicable
219	ISO_3166-2:IS	IS	Not Applicable
668	ISO_3166-2:IS	IS	Not Applicable
481	ISO_3166-2:IS	IS	Not Applicable
482	ISO_3166-2:IS	IS	Not Applicable
736	ISO_3166-2:IS	IS	Not Applicable
737	ISO_3166-2:IS	IS	Not Applicable
738	ISO_3166-2:IS	IS	Not Applicable
739	ISO_3166-2:IS	IS	Not Applicable
409	ISO_3166-2:IS	IS	Not Applicable
483	ISO_3166-2:IS	IS	Not Applicable
485	ISO_3166-2:IS	IS	Not Applicable
486	ISO_3166-2:IS	IS	Not Applicable
753	ISO_3166-2:IS	IS	Not Applicable
1143	ISO_3166-2:IS	IS	Not Applicable
1144	ISO_3166-2:IS	IS	Not Applicable
754	ISO_3166-2:IS	IS	Not Applicable
755	ISO_3166-2:IS	IS	Not Applicable
557	ISO_3166-2:IS	IS	Not Applicable
560	ISO_3166-2:IS	IS	Not Applicable
561	ISO_3166-2:IS	IS	Not Applicable
563	ISO_3166-2:IS	IS	Not Applicable
599	ISO_3166-2:IS	IS	Not Applicable
600	ISO_3166-2:IS	IS	Not Applicable
601	ISO_3166-2:IS	IS	Not Applicable
602	ISO_3166-2:IS	IS	Not Applicable
603	ISO_3166-2:IS	IS	Not Applicable
604	ISO_3166-2:IS	IS	Not Applicable
756	ISO_3166-2:IS	IS	Not Applicable
757	ISO_3166-2:IS	IS	Not Applicable
758	ISO_3166-2:IS	IS	Not Applicable
607	ISO_3166-2:IS	IS	Not Applicable
490	ISO_3166-2:IS	IS	Not Applicable
669	ISO_3166-2:IS	IS	Not Applicable
759	ISO_3166-2:IS	IS	Not Applicable
761	ISO_3166-2:IS	IS	Not Applicable
78	ISO_3166-2:IS	IS	Not Applicable
670	ISO_3166-2:IS	IS	Not Applicable
763	ISO_3166-2:IS	IS	Not Applicable
762	ISO_3166-2:IS	IS	Not Applicable
764	ISO_3166-2:IS	IS	Not Applicable
654	ISO_3166-2:IS	IS	Not Applicable
221	ISO_3166-2:IS	IS	Not Applicable
222	ISO_3166-2:IS	IS	Not Applicable
375	ISO_3166-2:IS	IS	Not Applicable
1145	ISO_3166-2:IS	IS	Not Applicable
226	ISO_3166-2:IS	IS	Not Applicable
491	ISO_3166-2:IS	IS	Not Applicable
492	ISO_3166-2:IS	IS	Not Applicable
565	ISO_3166-2:IS	IS	Not Applicable
566	ISO_3166-2:IS	IS	Not Applicable
701	ISO_3166-2:IS	IS	Not Applicable
227	ISO_3166-2:IS	IS	Not Applicable
765	ISO_3166-2:IS	IS	Not Applicable
766	ISO_3166-2:IS	IS	Not Applicable
767	ISO_3166-2:IS	IS	Not Applicable
768	ISO_3166-2:IS	IS	Not Applicable
655	ISO_3166-2:IS	IS	Not Applicable
85	ISO_3166-2:IS	IS	Not Applicable
230	ISO_3166-2:IS	IS	Not Applicable
231	ISO_3166-2:IS	IS	Not Applicable
457	ISO_3166-2:IS	IS	Not Applicable
458	ISO_3166-2:IS	IS	Not Applicable
462	ISO_3166-2:IS	IS	Not Applicable
623	ISO_3166-2:IS	IS	Not Applicable
773	ISO_3166-2:IS	IS	Not Applicable
446	ISO_3166-2:IS	IS	Not Applicable
497	ISO_3166-2:IS	IS	Not Applicable
498	ISO_3166-2:IS	IS	Not Applicable
499	ISO_3166-2:IS	IS	Not Applicable
443	ISO_3166-2:IS	IS	Not Applicable
526	ISO_3166-2:IS	IS	Not Applicable
527	ISO_3166-2:IS	IS	Not Applicable
528	ISO_3166-2:IS	IS	Not Applicable
232	ISO_3166-2:IS	IS	Not Applicable
234	ISO_3166-2:IS	IS	Not Applicable
774	ISO_3166-2:IS	IS	Not Applicable
377	ISO_3166-2:IS	IS	Not Applicable
379	ISO_3166-2:IS	IS	Not Applicable
280	ISO_3166-2:IS	IS	Not Applicable
775	ISO_3166-2:IS	IS	Not Applicable
707	ISO_3166-2:IS	IS	Not Applicable
708	ISO_3166-2:IS	IS	Not Applicable
709	ISO_3166-2:IS	IS	Not Applicable
710	ISO_3166-2:IS	IS	Not Applicable
637	ISO_3166-2:IS	IS	Not Applicable
635	ISO_3166-2:IS	IS	Not Applicable
639	ISO_3166-2:IS	IS	Not Applicable
447	ISO_3166-2:IS	IS	Not Applicable
448	ISO_3166-2:IS	IS	Not Applicable
449	ISO_3166-2:IS	IS	Not Applicable
450	ISO_3166-2:IS	IS	Not Applicable
451	ISO_3166-2:IS	IS	Not Applicable
381	ISO_3166-2:IS	IS	Not Applicable
382	ISO_3166-2:IS	IS	Not Applicable
384	ISO_3166-2:IS	IS	Not Applicable
1136	ISO_3166-2:IS	IS	Not Applicable
777	ISO_3166-2:IS	IS	Not Applicable
1146	ISO_3166-2:IS	IS	Not Applicable
1147	ISO_3166-2:IS	IS	Not Applicable
1148	ISO_3166-2:IS	IS	Not Applicable
501	ISO_3166-2:IS	IS	Not Applicable
239	ISO_3166-2:IS	IS	Not Applicable
240	ISO_3166-2:IS	IS	Not Applicable
241	ISO_3166-2:IS	IS	Not Applicable
242	ISO_3166-2:IS	IS	Not Applicable
502	ISO_3166-2:IS	IS	Not Applicable
329	ISO_3166-2:IS	IS	Not Applicable
330	ISO_3166-2:IS	IS	Not Applicable
419	ISO_3166-2:IS	IS	Not Applicable
420	ISO_3166-2:IS	IS	Not Applicable
110	ISO_3166-2:IS	IS	Not Applicable
973	ISO_3166-2:IS	IS	Not Applicable
123	ISO_3166-2:IS	IS	Not Applicable
1129	ISO_3166-2:IS	IS	Not Applicable
974	ISO_3166-2:IS	IS	Not Applicable
975	ISO_3166-2:IS	IS	Not Applicable
976	ISO_3166-2:IS	IS	Not Applicable
977	ISO_3166-2:IS	IS	Not Applicable
711	ISO_3166-2:IS	IS	Not Applicable
712	ISO_3166-2:IS	IS	Not Applicable
713	ISO_3166-2:IS	IS	Not Applicable
714	ISO_3166-2:IS	IS	Not Applicable
715	ISO_3166-2:IS	IS	Not Applicable
656	ISO_3166-2:IS	IS	Not Applicable
657	ISO_3166-2:IS	IS	Not Applicable
978	ISO_3166-2:IS	IS	Not Applicable
58	ISO_3166-2:IS	IS	Not Applicable
51	ISO_3166-2:IS	IS	Not Applicable
52	ISO_3166-2:IS	IS	Not Applicable
53	ISO_3166-2:IS	IS	Not Applicable
54	ISO_3166-2:IS	IS	Not Applicable
55	ISO_3166-2:IS	IS	Not Applicable
56	ISO_3166-2:IS	IS	Not Applicable
57	ISO_3166-2:IS	IS	Not Applicable
503	ISO_3166-2:IS	IS	Not Applicable
504	ISO_3166-2:IS	IS	Not Applicable
505	ISO_3166-2:IS	IS	Not Applicable
506	ISO_3166-2:IS	IS	Not Applicable
507	ISO_3166-2:IS	IS	Not Applicable
